feature,value,id,kind
pitcher,699134,645,categorical
pitcher,622569,646,categorical
pitcher,642215,647,categorical
pitcher,657024,648,categorical
pitcher,681916,649,categorical
pitcher,621112,650,categorical
pitcher,676051,651,categorical
pitcher,687830,652,categorical
pitcher,663546,653,categorical
pitcher,489119,654,categorical
pitcher,691951,655,categorical
pitcher,547184,656,categorical
pitcher,681146,657,categorical
pitcher,686751,658,categorical
pitcher,518886,659,categorical
pitcher,660604,660,categorical
pitcher,670950,661,categorical
pitcher,801216,662,categorical
pitcher,686747,663,categorical
pitcher,645444,664,categorical
pitcher,656629,665,categorical
pitcher,679775,666,categorical
pitcher,691587,667,categorical
pitcher,693855,668,categorical
pitcher,691799,669,categorical
pitcher,621057,670,categorical
pitcher,605513,671,categorical
pitcher,669391,672,categorical
pitcher,675650,673,categorical
pitcher,694819,674,categorical
pitcher,701552,675,categorical
pitcher,677649,676,categorical
pitcher,657424,677,categorical
pitcher,682515,678,categorical
pitcher,668670,679,categorical
pitcher,696147,680,categorical
pitcher,543101,681,categorical
pitcher,664192,682,categorical
pitcher,676724,683,categorical
pitcher,676206,684,categorical
pitcher,596295,685,categorical
pitcher,663897,686,categorical
pitcher,647315,687,categorical
pitcher,660271,688,categorical
pitcher,681962,689,categorical
pitcher,663321,690,categorical
pitcher,686218,691,categorical
pitcher,677865,692,categorical
pitcher,800049,693,categorical
pitcher,669193,694,categorical
pitcher,683175,695,categorical
pitcher,682790,696,categorical
pitcher,800311,697,categorical
pitcher,673820,698,categorical
pitcher,694361,699,categorical
pitcher,669449,700,categorical
pitcher,801434,701,categorical
pitcher,664141,702,categorical
pitcher,676679,703,categorical
pitcher,681006,704,categorical
pitcher,678022,705,categorical
pitcher,680735,706,categorical
pitcher,676604,707,categorical
pitcher,663773,708,categorical
pitcher,642216,709,categorical
batter,660271,1,categorical
batter,606192,2,categorical
batter,664023,3,categorical
batter,673548,4,categorical
batter,663656,5,categorical
batter,683737,6,categorical
batter,669257,7,categorical
batter,571970,8,categorical
batter,571771,9,categorical
batter,624424,10,categorical
batter,500743,11,categorical
batter,807713,12,categorical
batter,621020,13,categorical
batter,665804,14,categorical
batter,542932,15,categorical
batter,681624,16,categorical
batter,669242,17,categorical
batter,457759,18,categorical
batter,691718,19,categorical
batter,608348,20,categorical
batter,595777,21,categorical
batter,663586,22,categorical
batter,621566,23,categorical
batter,542303,24,categorical
batter,645277,25,categorical
batter,671739,26,categorical
batter,665487,27,categorical
batter,650333,28,categorical
batter,592518,29,categorical
batter,493329,30,categorical
batter,686948,31,categorical
batter,606115,32,categorical
batter,672284,33,categorical
batter,630105,34,categorical
batter,663604,35,categorical
batter,593428,36,categorical
batter,701538,37,categorical
batter,553869,38,categorical
batter,657757,39,categorical
batter,455117,40,categorical
batter,650402,41,categorical
batter,682985,42,categorical
batter,605141,43,categorical
batter,679529,44,categorical
batter,622534,45,categorical
batter,690993,46,categorical
batter,595879,47,categorical
batter,628451,48,categorical
batter,668670,49,categorical
batter,668952,50,categorical
batter,518692,51,categorical
batter,656716,52,categorical
batter,681481,53,categorical
batter,700242,54,categorical
batter,671732,55,categorical
batter,677594,56,categorical
batter,668227,57,categorical
batter,669127,58,categorical
batter,609280,59,categorical
batter,691016,60,categorical
batter,593871,61,categorical
batter,642133,62,categorical
batter,570482,63,categorical
batter,691777,64,categorical
batter,641487,65,categorical
batter,645302,66,categorical
batter,663728,67,categorical
batter,667670,68,categorical
batter,670042,69,categorical
batter,805779,70,categorical
batter,669208,71,categorical
batter,668709,72,categorical
batter,621043,73,categorical
batter,663457,74,categorical
batter,575929,75,categorical
batter,680977,76,categorical
batter,571448,77,categorical
batter,676475,78,categorical
batter,671056,79,categorical
batter,663616,80,categorical
batter,650489,81,categorical
batter,664056,82,categorical
batter,691023,83,categorical
batter,687363,84,categorical
batter,691026,85,categorical
batter,670242,86,categorical
batter,680777,87,categorical
batter,664034,88,categorical
batter,621439,89,categorical
batter,669304,90,categorical
batter,606466,91,categorical
batter,647304,92,categorical
batter,663538,93,categorical
batter,553993,94,categorical
batter,664983,95,categorical
batter,672695,96,categorical
batter,672515,97,categorical
batter,682998,98,categorical
batter,666971,99,categorical
batter,656976,100,categorical
batter,608324,101,categorical
batter,543760,102,categorical
batter,608369,103,categorical
batter,694671,104,categorical
batter,666969,105,categorical
batter,671213,106,categorical
batter,669394,107,categorical
batter,673962,108,categorical
batter,607680,109,categorical
batter,543309,110,categorical
batter,669701,111,categorical
batter,677800,112,categorical
batter,657136,113,categorical
batter,680776,114,categorical
batter,646240,115,categorical
batter,692225,116,categorical
batter,678882,117,categorical
batter,596115,118,categorical
batter,592626,119,categorical
batter,621493,120,categorical
batter,694384,121,categorical
batter,545361,122,categorical
batter,624585,123,categorical
batter,641313,124,categorical
batter,678246,125,categorical
batter,673357,126,categorical
batter,643217,127,categorical
batter,683734,128,categorical
batter,681351,129,categorical
batter,666176,130,categorical
batter,621028,131,categorical
batter,596103,132,categorical
batter,672820,133,categorical
batter,572191,134,categorical
batter,650859,135,categorical
batter,686676,136,categorical
batter,676070,137,categorical
batter,660162,138,categorical
batter,665155,139,categorical
batter,677347,140,categorical
batter,607208,141,categorical
batter,547180,142,categorical
batter,664761,143,categorical
batter,682928,144,categorical
batter,592663,145,categorical
batter,605137,146,categorical
batter,663993,147,categorical
batter,657557,148,categorical
batter,592206,149,categorical
batter,681082,150,categorical
batter,669016,151,categorical
batter,686611,152,categorical
batter,696285,153,categorical
batter,695578,154,categorical
batter,671277,155,categorical
batter,656941,156,categorical
batter,596146,157,categorical
batter,660688,158,categorical
batter,668939,159,categorical
batter,676059,160,categorical
batter,656811,161,categorical
batter,666182,162,categorical
batter,665489,163,categorical
batter,623993,164,categorical
batter,663624,165,categorical
batter,656775,166,categorical
batter,602104,167,categorical
batter,702616,168,categorical
batter,665926,169,categorical
batter,672386,170,categorical
batter,543807,171,categorical
batter,681297,172,categorical
batter,641933,173,categorical
batter,695238,174,categorical
batter,676391,175,categorical
batter,702176,176,categorical
batter,694192,177,categorical
batter,592885,178,categorical
batter,661388,179,categorical
batter,669224,180,categorical
batter,592450,181,categorical
batter,641355,182,categorical
batter,502671,183,categorical
batter,686217,184,categorical
batter,687401,185,categorical
batter,669003,186,categorical
batter,665862,187,categorical
batter,691176,188,categorical
batter,683011,189,categorical
batter,700250,190,categorical
batter,681962,191,categorical
batter,665828,192,categorical
batter,656555,193,categorical
batter,668930,194,categorical
batter,686555,195,categorical
batter,663757,196,categorical
batter,641343,197,categorical
batter,680757,198,categorical
batter,608070,199,categorical
batter,467793,200,categorical
batter,700932,201,categorical
batter,678877,202,categorical
batter,677951,203,categorical
batter,686469,204,categorical
batter,672356,205,categorical
batter,677587,206,categorical
batter,686681,207,categorical
batter,592669,208,categorical
batter,669004,209,categorical
batter,657041,210,categorical
batter,624415,211,categorical
batter,663697,212,categorical
batter,521692,213,categorical
batter,664728,214,categorical
batter,666310,215,categorical
batter,672580,216,categorical
batter,592192,217,categorical
batter,596019,218,categorical
batter,665742,219,categorical
batter,624413,220,categorical
batter,607043,221,categorical
batter,514888,222,categorical
batter,670623,223,categorical
batter,670541,224,categorical
batter,516782,225,categorical
batter,621438,226,categorical
batter,620443,227,categorical
batter,673237,228,categorical
batter,663898,229,categorical
batter,668901,230,categorical
batter,572233,231,categorical
batter,665161,232,categorical
batter,701358,233,categorical
batter,676694,234,categorical
batter,682668,235,categorical
batter,663584,236,categorical
batter,664774,237,categorical
batter,642715,238,categorical
batter,808982,239,categorical
batter,670770,240,categorical
batter,682829,241,categorical
batter,668715,242,categorical
batter,671218,243,categorical
batter,672275,244,categorical
batter,624431,245,categorical
batter,527038,246,categorical
batter,573262,247,categorical
batter,666149,248,categorical
batter,666158,249,categorical
batter,656305,250,categorical
